group_by,group_value,model,horizon_s,target,rows,mae,rmse,r2
mode,igp,hist_gbm,60,network_mlu_pct,111,7.0449290532106215,10.870945813699688,0.9293333298410388
mode,ml_dynamic,hist_gbm,60,network_mlu_pct,100,24.132985386253612,31.99619677524634,0.423391679045381
mode,static,hist_gbm,60,network_mlu_pct,103,15.558735463372926,22.658241242074446,0.7040225206120285
active_policy,igp,hist_gbm,60,network_mlu_pct,111,7.0449290532106215,10.870945813699688,0.9293333298410388
active_policy,srte_ml_dynamic,hist_gbm,60,network_mlu_pct,100,24.132985386253612,31.99619677524634,0.423391679045381
active_policy,srte_static,hist_gbm,60,network_mlu_pct,103,15.558735463372926,22.658241242074446,0.7040225206120285
run_key,20260406_110810,hist_gbm,60,network_mlu_pct,111,7.0449290532106215,10.870945813699688,0.9293333298410388
run_key,20260406_114036,hist_gbm,60,network_mlu_pct,103,15.558735463372926,22.658241242074446,0.7040225206120285
run_key,20260406_121117,hist_gbm,60,network_mlu_pct,100,24.132985386253612,31.99619677524634,0.423391679045381
