run_key,window_index,window_start_epoch_ms,window_end_epoch_ms,window_start_ts,window_end_ts,decision_window_s,elephant_flow_count,elephant_active_flow_count,total_elephant_mbits,top1_elephant_mbits,topk_elephant_mbits,top1_share_pct,topk_share_pct,total_retransmits
20260406_121119,0,1775448686917,1775448746917,2026-04-06T12:11:26.917+08:00,2026-04-06T12:12:26.917+08:00,60,3,3,33292.55,16196.923,33292.55,48.65,100.0,43.0
20260406_121119,1,1775448746917,1775448806917,2026-04-06T12:12:26.917+08:00,2026-04-06T12:13:26.917+08:00,60,3,3,32396.957,16195.939,32396.957,49.992,100.0,11.0
20260406_121119,2,1775448806917,1775448866917,2026-04-06T12:13:26.917+08:00,2026-04-06T12:14:26.917+08:00,60,3,3,32393.952,16196.652,32393.952,49.999,100.0,0.0
20260406_121119,3,1775448866917,1775448926917,2026-04-06T12:14:26.917+08:00,2026-04-06T12:15:26.917+08:00,60,3,3,32398.678,16202.143,32398.678,50.009,100.0,6.0
20260406_121119,4,1775448926917,1775448986917,2026-04-06T12:15:26.917+08:00,2026-04-06T12:16:26.917+08:00,60,2,2,31497.498,16199.168,31497.498,51.43,100.0,6.0
20260406_121119,5,1775448986917,1775449046917,2026-04-06T12:16:26.917+08:00,2026-04-06T12:17:26.917+08:00,60,3,3,33299.768,16199.024,33299.768,48.646,100.0,7.0
20260406_121119,6,1775449046917,1775449106917,2026-04-06T12:17:26.917+08:00,2026-04-06T12:18:26.917+08:00,60,3,3,32400.838,16199.058,32400.838,49.996,100.0,0.0
20260406_121119,7,1775449106917,1775449166917,2026-04-06T12:18:26.917+08:00,2026-04-06T12:19:26.917+08:00,60,3,3,32400.561,16201.145,32400.561,50.003,100.0,31.0
20260406_121119,8,1775449166917,1775449226917,2026-04-06T12:19:26.917+08:00,2026-04-06T12:20:26.917+08:00,60,3,3,32392.428,16196.82,32392.428,50.002,100.0,13.0
20260406_121119,9,1775449226917,1775449286917,2026-04-06T12:20:26.917+08:00,2026-04-06T12:21:26.917+08:00,60,3,3,32397.289,16198.707,32397.289,50.0,100.0,18.0
20260406_121119,10,1775449286917,1775449346917,2026-04-06T12:21:26.917+08:00,2026-04-06T12:22:26.917+08:00,60,3,3,32395.12,16199.308,32395.12,50.005,100.0,0.0
20260406_121119,11,1775449346917,1775449406917,2026-04-06T12:22:26.917+08:00,2026-04-06T12:23:26.917+08:00,60,3,3,32397.871,16199.191,32397.871,50.001,100.0,54.0
20260406_121119,12,1775449406917,1775449466917,2026-04-06T12:23:26.917+08:00,2026-04-06T12:24:26.917+08:00,60,2,2,31483.826,16188.089,31483.826,51.417,100.0,6.0
20260406_121119,13,1775449466917,1775449526917,2026-04-06T12:24:26.917+08:00,2026-04-06T12:25:26.917+08:00,60,3,3,33293.843,16198.264,33293.843,48.652,100.0,8.0
20260406_121119,14,1775449526917,1775449586917,2026-04-06T12:25:26.917+08:00,2026-04-06T12:26:26.917+08:00,60,3,3,32383.85,16196.327,32383.85,50.014,100.0,104.0
20260406_121119,15,1775449586917,1775449646917,2026-04-06T12:26:26.917+08:00,2026-04-06T12:27:26.917+08:00,60,3,3,32397.005,16198.771,32397.005,50.001,100.0,16.0
20260406_121119,16,1775449646917,1775449706917,2026-04-06T12:27:26.917+08:00,2026-04-06T12:28:26.917+08:00,60,3,3,32393.467,16196.725,32393.467,50.0,100.0,18.0
20260406_121119,17,1775449706917,1775449766917,2026-04-06T12:28:26.917+08:00,2026-04-06T12:29:26.917+08:00,60,3,3,32398.893,16198.617,32398.893,49.997,100.0,0.0
20260406_121119,18,1775449766917,1775449826917,2026-04-06T12:29:26.917+08:00,2026-04-06T12:30:26.917+08:00,60,3,3,32395.552,16197.716,32395.552,50.0,100.0,5.0
20260406_121119,19,1775449826917,1775449886917,2026-04-06T12:30:26.917+08:00,2026-04-06T12:31:26.917+08:00,60,3,3,32398.522,16197.837,32398.522,49.996,100.0,6.0
20260406_121119,20,1775449886917,1775449946917,2026-04-06T12:31:26.917+08:00,2026-04-06T12:32:26.917+08:00,60,3,3,32393.457,16195.594,32393.457,49.996,100.0,16.0
20260406_121119,21,1775449946917,1775450006917,2026-04-06T12:32:26.917+08:00,2026-04-06T12:33:26.917+08:00,60,3,3,32395.926,16197.863,32395.926,50.0,100.0,0.0
20260406_121119,22,1775450006917,1775450066917,2026-04-06T12:33:26.917+08:00,2026-04-06T12:34:26.917+08:00,60,3,3,32396.638,16196.679,32396.638,49.995,100.0,13.0
20260406_121119,23,1775450066917,1775450126917,2026-04-06T12:34:26.917+08:00,2026-04-06T12:35:26.917+08:00,60,3,3,32397.121,16199.115,32397.121,50.002,100.0,6.0
20260406_121119,24,1775450126917,1775450186917,2026-04-06T12:35:26.917+08:00,2026-04-06T12:36:26.917+08:00,60,3,3,32397.561,16198.893,32397.561,50.0,100.0,0.0
20260406_121119,25,1775450186917,1775450246917,2026-04-06T12:36:26.917+08:00,2026-04-06T12:37:26.917+08:00,60,3,3,32394.169,16197.243,32394.169,50.0,100.0,16.0
20260406_121119,26,1775450246917,1775450306917,2026-04-06T12:37:26.917+08:00,2026-04-06T12:38:26.917+08:00,60,3,3,32394.558,16199.418,32394.558,50.007,100.0,0.0
20260406_121119,27,1775450306917,1775450366917,2026-04-06T12:38:26.917+08:00,2026-04-06T12:39:26.917+08:00,60,3,3,32396.265,16198.669,32396.265,50.002,100.0,0.0
20260406_121119,28,1775450366917,1775450426917,2026-04-06T12:39:26.917+08:00,2026-04-06T12:40:26.917+08:00,60,3,3,32395.016,16195.445,32395.016,49.994,100.0,0.0
20260406_121119,29,1775450426917,1775450486917,2026-04-06T12:40:26.917+08:00,2026-04-06T12:41:26.917+08:00,60,2,2,31493.663,16198.006,31493.663,51.433,100.0,0.0
